Voltage (V),Current (A),Temperature (C),eRPM,Throttle Duty,Motor Duty,Phase Current (A),Power (W),Status 1,Status 2
50.870872,5.4,27.48,29790,8,8,0,274.7,1,0
50.840843,5.2,27.48,29948,8,8,0,264.37,1,0
50.870872,5.2,27.48,29927,8,8,0,264.53,1,0
50.900902,5.8,27.48,30227,8,8,0,295.23,1,0
50.870872,5.4,27.48,30197,8,8,0,274.7,1,0
50.840843,5.6,27.48,29938,8,8,0,284.71,1,0
50.840843,5,27.48,30367,8,8,0,254.2,1,0
50.900902,5.6,27.51,30449,8,8,0,285.05,1,0
50.840843,5.8,27.54,30115,8,8,0,294.88,1,0
50.870872,5,27.54,29937,8,8,0,254.35,1,0
50.870872,5.4,27.54,30096,8,8,0,274.7,1,0
50.840843,4.6,27.54,30101,8,8,0,233.87,1,0
50.840843,5.4,27.54,30347,8,8,0,274.54,1,0
50.870872,5.6,27.56,30162,8,8,0,284.88,1,0
50.870872,5.2,27.59,29847,8,8,0,264.53,1,0
50.870872,5,27.59,29976,8,8,0,254.35,1,0
50.840843,5.8,27.59,30068,8,8,0,294.88,1,0
50.870872,5,27.59,30089,8,8,0,254.35,1,0
50.840843,5.6,27.59,30073,8,8,0,284.71,1,0
50.870872,5.2,27.59,30169,8,8,0,264.53,1,0
50.870872,5.6,27.59,29964,8,8,0,284.88,1,0
50.900902,5.4,27.59,30126,8,8,0,274.86,1,0
50.840843,5,27.59,29694,8,8,0,254.2,1,0
50.870872,5,27.59,29799,8,8,0,254.35,1,0
50.840843,4.8,27.59,30087,8,8,0,244.04,1,0
50.870872,5.2,27.59,30055,8,8,0,264.53,1,0
50.900902,5.2,27.59,29995,8,8,0,264.68,1,0
50.840843,5.2,27.59,29778,8,8,0,264.37,1,0
50.840843,5,27.61,30016,8,8,0,254.2,1,0
50.840843,5.8,27.64,30048,8,8,0,294.88,1,0
50.840843,5.2,27.64,30235,8,8,0,264.37,1,0
50.840843,6,27.66,29883,8,8,0,305.05,1,0
50.870872,5.2,27.66,29860,8,8,0,264.53,1,0
50.840843,5.2,27.66,30082,8,8,0,264.37,1,0
50.870872,5.6,27.66,30128,8,8,0,284.88,1,0
50.870872,5.2,27.69,30303,8,8,0,264.53,1,0
50.840843,4.8,27.69,29953,8,8,0,244.04,1,0
50.840843,6.2,27.72,30093,8,8,0,315.21,1,0
50.840843,5.2,27.72,30223,8,8,0,264.37,1,0
50.870872,5.4,27.72,30214,8,8,0,274.7,1,0
50.900902,5,27.72,30111,8,8,0,254.5,1,0
50.900902,5,27.72,30154,8,8,0,254.5,1,0
50.840843,5.8,27.74,30173,8,8,0,294.88,1,0
50.840843,5.2,27.74,29991,8,8,0,264.37,1,0
50.840843,5.6,27.74,30232,8,8,0,284.71,1,0
50.870872,5.4,27.77,30067,8,8,0,274.7,1,0
50.870872,5.6,27.77,30039,8,8,0,284.88,1,0
50.870872,5.4,27.77,30021,8,8,0,274.7,1,0
50.840843,5.2,27.77,30211,8,8,0,264.37,1,0
50.870872,5,27.77,30030,8,8,0,254.35,1,0
50.870872,6,27.79,30244,8,8,0,305.23,1,0
50.870872,5.4,27.79,29927,8,8,0,274.7,1,0
50.870872,5.6,27.79,29908,8,8,0,284.88,1,0
50.900902,5,27.79,30240,8,8,0,254.5,1,0
50.840843,5.4,27.79,30135,8,8,0,274.54,1,0
50.870872,5.4,27.79,30029,8,8,0,274.7,1,0
50.840843,5.4,27.82,29784,8,8,0,274.54,1,0
50.840843,5.2,27.82,30147,8,8,0,264.37,1,0
50.870872,5.6,27.84,30140,8,8,0,284.88,1,0
50.870872,5.6,27.84,30060,8,8,0,284.88,1,0
50.840843,5.8,27.87,30014,8,8,0,294.88,1,0
50.870872,5.2,27.87,30174,8,8,0,264.53,1,0
50.840843,5.2,27.87,30284,8,8,0,264.37,1,0
50.840843,5.8,27.87,30058,8,8,0,294.88,1,0
50.870872,5.6,27.87,29792,8,8,0,284.88,1,0
50.840843,5.2,27.87,30045,8,8,0,264.37,1,0
50.870872,5.2,27.87,30107,8,8,0,264.53,1,0
50.840843,5.4,27.9,30404,8,8,0,274.54,1,0
50.840843,5.4,27.92,29864,8,8,0,274.54,1,0
50.840843,5.4,27.92,29903,8,8,0,274.54,1,0
50.840843,5.2,27.95,30208,8,8,0,264.37,1,0
50.870872,5.2,27.95,30346,8,8,0,264.53,1,0
50.840843,5.2,27.95,30138,8,8,0,264.37,1,0
50.870872,5.4,27.95,29899,8,8,0,274.7,1,0
50.870872,5.6,27.97,30020,8,8,0,284.88,1,0
50.840843,5,27.97,30053,8,8,0,254.2,1,0
50.870872,5.8,27.97,30260,8,8,0,295.05,1,0
50.900902,5.8,27.97,29871,8,8,0,295.23,1,0
50.870872,5.2,27.97,29897,8,8,0,264.53,1,0
50.900902,5.6,27.97,30108,8,8,0,285.05,1,0
50.840843,5.6,27.97,30014,8,8,0,284.71,1,0
50.840843,5.4,27.97,30329,8,8,0,274.54,1,0
50.870872,5.6,27.97,29946,8,8,0,284.88,1,0
50.870872,5,27.97,30057,8,8,0,254.35,1,0
50.840843,5,28,30164,8,8,0,254.2,1,0
50.870872,5.4,28,30159,8,8,0,274.7,1,0
50.870872,5.4,28,29923,8,8,0,274.7,1,0
50.840843,5.4,28,30090,8,8,0,274.54,1,0
50.840843,5,28.02,30071,8,8,0,254.2,1,0
50.870872,5.6,28.02,30295,8,8,0,284.88,1,0
50.870872,5.6,28.05,30214,8,8,0,284.88,1,0
50.840843,5.2,28.05,30147,8,8,0,264.37,1,0
50.840843,5.2,28.05,30049,8,8,0,264.37,1,0
50.840843,5.8,28.08,29936,8,8,0,294.88,1,0
50.870872,5.6,28.08,29859,8,8,0,284.88,1,0
50.840843,5.2,28.08,30140,8,8,0,264.37,1,0
50.870872,5.2,28.08,30275,8,8,0,264.53,1,0
50.840843,5.8,28.08,30234,8,8,0,294.88,1,0
50.870872,5.6,28.08,29958,8,8,0,284.88,1,0
50.870872,5.4,28.08,30238,8,8,0,274.7,1,0
50.870872,5.4,28.08,30239,8,8,0,274.7,1,0
50.840843,5,28.1,30091,8,8,0,254.2,1,0
50.840843,5.6,28.1,30058,8,8,0,284.71,1,0
50.870872,6,28.1,30297,8,8,0,305.23,1,0
50.840843,5.2,28.1,30439,8,8,0,264.37,1,0
50.840843,5.4,28.13,30294,8,8,0,274.54,1,0
50.840843,5.8,28.15,30181,8,8,0,294.88,1,0
50.870872,5.2,28.15,30082,8,8,0,264.53,1,0
50.870872,5.6,28.15,30424,8,8,0,284.88,1,0
50.840843,4.8,28.18,30343,8,8,0,244.04,1,0
50.840843,5.6,28.2,30083,8,8,0,284.71,1,0
50.810814,5.8,28.2,30183,8,8,0,294.7,1,0
50.840843,5.2,28.2,30353,8,8,0,264.37,1,0
50.840843,5,28.2,30387,8,8,0,254.2,1,0
50.840843,5,28.2,30367,8,8,0,254.2,1,0
50.840843,5.2,28.2,30122,8,8,0,264.37,1,0
50.840843,5.6,28.2,29980,8,8,0,284.71,1,0
50.870872,5.2,28.2,29927,8,8,0,264.53,1,0
50.840843,5,28.2,30275,8,8,0,254.2,1,0
50.840843,6,28.2,30028,8,8,0,305.05,1,0
50.840843,5.4,28.2,30093,8,8,0,274.54,1,0
50.870872,5.6,28.2,29943,8,8,0,284.88,1,0
50.840843,5,28.23,30052,8,8,0,254.2,1,0
50.840843,5.2,28.23,30222,8,8,0,264.37,1,0
